INSTNM,STABBR,year,earnings_med,count_not_working,count_working
Keiser University-Ft Lauderdale,FL,2013,30200,1133,4754
Heritage Institute-Ft Myers,FL,2013,21300,71,252
La Belle Beauty School,FL,2013,14100,191,433
Florida Gateway College,FL,2013,27700,184,874
Lake Technical College,FL,2013,24900,35,143
Lake-Sumter State College,FL,2013,28900,169,684
Fort Myers Technical College,FL,2013,29300,38,139
Lively Technical Center,FL,2013,22700,86,263
Lindsey Hopkins Technical College,FL,2013,31600,46,132
Loraines Academy & Spa,FL,2013,18000,56,153
Luther Rice College & Semiry,GA,2013,42500,0,63
State College of Florida-Matee-Sarasota,FL,2013,29300,598,2525
Matee Technical College,FL,2013,26000,100,337
Manhattan Hairstyling Academy,FL,2013,18600,203,475
Traviss Technical College,FL,2013,29600,67,226
Trinity Intertiol University-Florida,FL,2013,41000,98,636
Miami Lakes Educatiol Center and Technical College,FL,2013,30800,49,260
Miami Dade College,FL,2013,30000,4145,20736
University of Miami,FL,2013,57800,334,2810
Orange Technical College-Mid Florida Campus,FL,2013,25400,66,157
Beauty Schools of America-Miami,FL,2013,15000,549,1352
Remington College-Tampa Campus,FL,2013,26300,187,907
Everest Institute-North Miami,FL,2013,23900,401,1877
Academy of Palm Beach,FL,2013,16000,64,230
Lincoln College of Technology-West Palm Beach,FL,2013,27700,1045,4046
Paul Mitchell the School-Jacksonville,FL,2013,16000,0,61
North Florida Community College,FL,2013,26600,81,405
University of North Florida,FL,2013,42100,407,3012
Northwood University-Florida,FL,2013,45100,245,2062
Nova Southeastern University,FL,2013,44200,341,2167
Northwest Florida State College,FL,2013,27900,300,1346
Everest University-North Orlando,FL,2013,24400,999,3695
Orange Technical College-Orlando Campus,FL,2013,29500,37,157
Palm Beach Atlantic University,FL,2013,39400,176,1028
Palm Beach State College,FL,2013,31900,655,3503
Pasco-Herndo State College,FL,2013,28600,559,2030
Pensacola State College,FL,2013,26500,666,2563
Pinellas Technical College-Clearwater,FL,2013,28200,72,178
Polk State College,FL,2013,30500,220,1224
Radford M Locklin Technical Center,FL,2013,22100,27,68
Ridge Technical College,FL,2013,18600,38,87
Ringling College of Art and Design,FL,2013,33500,63,382
Toni & Guy Hairdressing Academy-Jacksonville,FL,2013,20200,35,100
Robert Morgan Educatiol Center and Technical College,FL,2013,26000,93,321
Rollins College,FL,2013,43700,102,736
First Coast Technical College,FL,2013,21800,60,230
Saint Leo University,FL,2013,42800,654,3520
St Petersburg College,FL,2013,31800,1213,5007
Pinellas Technical College-St. Petersburg,FL,2013,26500,81,180
Santa Fe College,FL,2013,33300,685,3638
Suncoast Technical College,FL,2013,24000,33,96
Argosy University-Sarasota,FL,2013,37800,232,1375
Seminole State College of Florida,FL,2013,31400,634,3197
Sheridan Technical College,FL,2013,28400,81,379
Saint Johns River State College,FL,2013,29700,289,1187
South Florida State College,FL,2013,24800,192,697
University of South Florida-Main Campus,FL,2013,41800,1143,9065
St Thomas University,FL,2013,45600,83,555
Stenotype Institute of Jacksonville Inc-Jacksonville,FL,2013,28700,138,502
Stetson University,FL,2013,40500,79,648
Southeastern University,FL,2013,33200,125,789
Bene's Career Academy,FL,2013,17500,57,134
RIVEROAK Technical College,FL,2013,24700,35,105
Tallahassee Community College,FL,2013,29900,624,3426
Talmudic College of Florida,FL,2013,33900,27,55
Altierus Career College-Tampa,FL,2013,26700,893,2773
Everest University-Largo,FL,2013,24500,693,2146
The University of Tampa,FL,2013,45800,188,1520
Big Bend Technical College,FL,2013,16500,27,74
Tom P Haney Technical Center,FL,2013,23300,49,148
Trinity Baptist College,FL,2013,28200,27,130
Trinity College of Florida,FL,2013,28100,0,79
Fashion Focus Hair Academy,FL,2013,0,0,0
Valencia College,FL,2013,31000,1166,6897
Warner University,FL,2013,39200,51,467
Florida Panhandle Technical College,FL,2013,24100,81,210
Webber Intertiol University,FL,2013,33000,53,361
Rasmussen College-Florida,FL,2013,31000,143,1069
The University of West Florida,FL,2013,36600,378,2388
Orange Technical College-Westside Campus,FL,2013,21600,59,158
William T McFatter Technical College,FL,2013,29500,32,136
Orange Technical College-Winter Park Campus,FL,2013,22300,62,156
Withlacoochee Technical College,FL,2013,24800,58,143
Abraham Baldwin Agricultural College,GA,2013,31500,216,1356
Agnes Scott College,GA,2013,36500,34,240
Interactive College of Technology-Chamblee,GA,2013,20600,703,1933
Interactive College of Technology-Morrow,GA,2013,20600,703,1933
Albany Technical College,GA,2013,21000,289,998
Darton State College,GA,2013,29400,216,1386
Albany State University,GA,2013,31500,128,930
Andrew College,GA,2013,28300,28,229
Armstrong State University,GA,2013,38200,296,1854
The Art Institute of Atlanta,GA,2013,30400,467,2325
Georgia Career Institute,GA,2013,16000,110,322
Atlanta Technical College,GA,2013,21000,289,989
Point University,GA,2013,32800,26,151
Atlanta Metropolitan State College,GA,2013,26600,104,658
Atlanta School of Massage,GA,2013,26200,82,262
Clark Atlanta University,GA,2013,34800,194,1506
Augusta Technical College,GA,2013,24100,332,1378
Bainbridge State College,GA,2013,24800,202,623
Bauder College,GA,2013,23700,118,616
Beauty College of America,GA,2013,14200,0,73
Berry College,GA,2013,38600,53,561
Beulah Heights University,GA,2013,27700,61,182
Breu University,GA,2013,40700,63,623
Brewton-Parker College,GA,2013,29500,73,548
Brown College of Court Reporting,GA,2013,31000,50,186
College of Coastal Georgia,GA,2013,28400,226,916
West Georgia Technical College,GA,2013,26000,206,750
Clayton  State University,GA,2013,37600,298,1882
Columbus Technical College,GA,2013,25300,385,1417
Columbus State University,GA,2013,34600,241,1845
Georgia Northwestern Technical College,GA,2013,24600,191,579
Covent College,GA,2013,39100,79,524
Dalton State College,GA,2013,30500,258,1057
Pro Way Hair School,GA,2013,14400,26,94
South University-Savanh,GA,2013,30300,293,1551
East Georgia State College,GA,2013,30000,99,691
Emmanuel College,GA,2013,29800,43,292
Emory University,GA,2013,61500,137,1307
Georgia Highlands College,GA,2013,32200,191,1060
Fort Valley State University,GA,2013,28200,103,789
Grady Health System Professiol Schools,GA,2013,53200,0,54
Georgia Institute of Technology-Main Campus,GA,2013,75800,186,2422
Georgia Southwestern State University,GA,2013,34700,100,659
Georgia College & State University,GA,2013,39300,157,1385
Georgia Military College,GA,2013,30500,349,1843
Georgia Southern University,GA,2013,40300,470,4070
Georgia State University,GA,2013,41200,731,5565
University of Georgia,GA,2013,48500,539,5040
Gordon State College,GA,2013,31300,165,1205
Southern Crescent Technical College,GA,2013,26800,190,721
Gupton Jones College of Funeral Service,GA,2013,27200,44,155
Gwinnett College-Lilburn,GA,2013,26600,79,289
Gwinnett Technical College,GA,2013,33100,172,804
Kennesaw State University,GA,2013,40300,534,3646
LaGrange College,GA,2013,40200,48,400
Lanier Technical College,GA,2013,25000,115,441
Life University,GA,2013,35400,104,318
Chattahoochee Technical College,GA,2013,27600,215,897
Herzing University-Atlanta,GA,2013,40300,68,490
Mercer University,GA,2013,46700,241,2116
Morehouse College,GA,2013,42500,106,880
Moultrie Technical College,GA,2013,20000,276,766
North Georgia Technical College,GA,2013,22100,189,653
Oglethorpe University,GA,2013,40700,46,270
Paine College,GA,2013,26700,49,362
Piedmont College,GA,2013,39300,56,460
Miami Ad School at Portfolio Center,GA,2013,66000,0,114
Reinhardt University,GA,2013,36300,49,319
Savanh Technical College,GA,2013,24300,353,1572
Savanh College of Art and Design,GA,2013,35300,240,1729
Savanh State University,GA,2013,31000,115,970
Shorter University,GA,2013,44200,106,1033
South Georgia Technical College,GA,2013,23400,155,532
The Creative Circus,GA,2013,85000,0,158
Spelman College,GA,2013,46800,47,559
Southern Polytechnic State University,GA,2013,55700,86,826
Southwest Georgia Technical College,GA,2013,24700,180,813
Thomas University,GA,2013,34900,52,267
Toccoa Falls College,GA,2013,26600,81,302
Truett McConnell University,GA,2013,31500,49,309
Wiregrass Georgia Technical College,GA,2013,22100,213,714
Valdosta State University,GA,2013,36800,340,2851
Wesleyan College,GA,2013,33300,35,177
University of West Georgia,GA,2013,37200,335,2646
Young Harris College,GA,2013,37100,41,267
Heald College-Honolulu,HI,2013,34600,386,1775
Chamide University of Honolulu,HI,2013,38900,141,692
University of Hawaii at Hilo,HI,2013,34500,225,948
University of Hawaii at Manoa,HI,2013,43600,479,3131
Hawaii Institute of Hair Design,HI,2013,22300,25,75
Hawaii Pacific University,HI,2013,44900,204,1448
Honolulu Community College,HI,2013,33800,136,581
Kapiolani Community College,HI,2013,36200,183,767
Kauai Community College,HI,2013,30800,47,168
Leeward Community College,HI,2013,31700,183,677
University of Hawaii Maui College,HI,2013,27900,148,518
Med-Assist School of Hawaii Inc,HI,2013,32700,37,183
Travel Institute of the Pacific,HI,2013,19200,129,288
University of Hawaii-West Oahu,HI,2013,40000,38,170
Windward Community College,HI,2013,28400,125,456
Carrington College-Boise,ID,2013,26800,116,498
Boise Bible College,ID,2013,28400,0,59
Boise State University,ID,2013,36100,873,5121
College of Eastern Idaho,ID,2013,25500,77,398
Idaho State University,ID,2013,34600,877,4063
University of Idaho,ID,2013,41000,344,2682
The College of Idaho,ID,2013,39300,29,280
Lewis-Clark State College,ID,2013,33800,233,1273
ITT Technical Institute-Boise,ID,2013,38800,589,3860
Aveda Institute-Twin Falls,ID,2013,0,0,0
Mr Leon's School of Hair Design-Moscow,ID,2013,0,0,0
North Idaho College,ID,2013,30400,403,1619
Northwest zarene University,ID,2013,36200,60,479
Elevate Salon Institute-Chubbuck,ID,2013,9100,26,63
Brigham Young University-Idaho,ID,2013,39900,1629,3628
College of Southern Idaho,ID,2013,28100,456,2086
Alvareitas College of Cosmetology-Edwardsville,IL,2013,19100,0,58
Alvareitas College of Cosmetology-Godfrey,IL,2013,0,0,0
American Academy of Art,IL,2013,27700,26,178
School of the Art Institute of Chicago,IL,2013,32100,126,616
Augusta College,IL,2013,48500,34,693
Aurora University,IL,2013,40000,76,846
Tricoci University of Beauty Culture-Urba,IL,2013,17300,0,87
Southwestern Illinois College,IL,2013,26600,573,2387
Black Hawk College,IL,2013,28600,320,1895
Blackburn College,IL,2013,37600,27,299
Blessing Rieman College of Nursing and Health Sciences,IL,2013,44400,0,78
Blessing Hospital School of Radiologic Technology,IL,2013,44400,0,78
Bradley University,IL,2013,51200,144,1910
Paul Mitchell the School-Bradley,IL,2013,20400,45,179
Cameo Beauty Academy,IL,2013,17000,27,91
Cannella School of Hair Design-Villa Park,IL,2013,0,0,0
Cannella School of Hair Design-Chicago,IL,2013,15000,39,103
Cannella School of Hair Design-Chicago,IL,2013,18300,105,268
Cannella School of Hair Design-Elgin,IL,2013,23200,0,74
Capri Beauty College,IL,2013,15900,0,131
Empire Beauty School-Hanover Park,IL,2013,17000,145,376
Capri Beauty College,IL,2013,19300,48,138
Carl Sandburg College,IL,2013,26400,238,1030
La James Intertiol College-East Moline,IL,2013,0,0,0
Chicago State University,IL,2013,34300,260,1422
University of Chicago,IL,2013,65500,166,1441
City Colleges of Chicago-Kennedy-King College,IL,2013,22300,408,1654
City Colleges of Chicago-Malcolm X College,IL,2013,23600,387,1903
City Colleges of Chicago-Olive-Harvey College,IL,2013,23700,273,1346
City Colleges of Chicago-Harry S Truman College,IL,2013,28000,317,1198
City Colleges of Chicago-Richard J Daley College,IL,2013,28200,331,1692
City Colleges of Chicago-Harold Washington College,IL,2013,25000,553,2217
City Colleges of Chicago-Wilbur Wright College,IL,2013,32000,287,1499
Columbia College Chicago,IL,2013,33400,574,3634
Concordia University-Chicago,IL,2013,39000,54,448
Le Cordon Bleu College of Culiry Arts-Chicago,IL,2013,33700,199,1046
Coyne College,IL,2013,36900,196,871
Danville Area Community College,IL,2013,26800,167,721
Tricoci University of Beauty Culture-Danville,IL,2013,17300,0,87
DePaul University,IL,2013,51000,568,4348
Cosmetology & Spa Academy,IL,2013,0,0,0
College of DuPage,IL,2013,34500,500,2675
East-West University,IL,2013,24100,142,835
Eastern Illinois University,IL,2013,40100,267,3640
Elgin Community College,IL,2013,32100,244,1109
Elmhurst College,IL,2013,47300,83,923
Eureka College,IL,2013,34000,35,251
First Institute Inc,IL,2013,29700,0,96
Fox College,IL,2013,32900,47,288
Gem City College,IL,2013,21200,0,72
Governors State University,IL,2013,39500,148,813
Graham Hospital School of Nursing,IL,2013,0,0,0
Greenville University,IL,2013,36300,69,606
Hair Professiols Academy of Cosmetology,IL,2013,23900,30,112
Hair Professiols Career College,IL,2013,17800,0,72
Hair Professiols School of Cosmetology,IL,2013,21700,29,104
Harrington College of Design,IL,2013,37700,225,929
Hebrew Theological College,IL,2013,21400,52,153
Highland Community College,IL,2013,26500,159,664
Rosalind Franklin University of Medicine and Science,IL,2013,127300,0,322
University of Illinois at Chicago,IL,2013,52200,631,5787
Benedictine University,IL,2013,48900,94,783
University of Illinois at Urba-Champaign,IL,2013,57600,529,6652
Illinois Wesleyan University,IL,2013,55600,27,574
Illinois Central College,IL,2013,29400,345,1944
Illinois College,IL,2013,39900,43,453
Olney Central College,IL,2013,28700,99,526
Illinois Institute of Technology,IL,2013,69800,84,667
Argosy University-Chicago,IL,2013,37800,232,1375
Illinois State University,IL,2013,45500,406,5585
Illinois Valley Community College,IL,2013,29400,165,847
Sanford-Brown College-Chicago,IL,2013,26100,624,2576
John A Logan College,IL,2013,25500,340,1317
John Wood Community College,IL,2013,29100,201,1149
Joliet Junior College,IL,2013,29400,283,1548
Judson University,IL,2013,41400,81,570
Kankakee Community College,IL,2013,28500,84,567
Kaskaskia College,IL,2013,26700,205,976
Kendall College,IL,2013,37900,42,313
Kishwaukee College,IL,2013,32600,178,860
Knox College,IL,2013,38200,44,349
Educators of Beauty College of Cosmetology-La Salle,IL,2013,17100,0,53
College of Lake County,IL,2013,32700,356,1571
Lake Forest College,IL,2013,49000,40,385
Lake Land College,IL,2013,27900,287,1628
Lakeview College of Nursing,IL,2013,53600,0,75
Lewis and Clark Community College,IL,2013,26100,339,1213
Lewis University,IL,2013,47300,113,1166
Lexington College,IL,2013,0,0,0
Lincoln Christian University,IL,2013,29900,40,307
Lincoln College,IL,2013,29700,107,764
Lincoln Land Community College,IL,2013,29700,287,1533
Lincoln College of Technology-Melrose Park,IL,2013,42800,193,1096
Loyola University Chicago,IL,2013,52000,355,2624
Trinity College of Nursing & Health Sciences,IL,2013,45100,0,94
CET-Chicago,IL,2013,22000,838,2563
Steven Papageorge Hair Academy,IL,2013,17900,0,84
MacCormac College,IL,2013,29500,68,261
MacMurray College,IL,2013,36300,38,433
McHenry County College,IL,2013,30600,146,626
McKendree University,IL,2013,45800,75,786
Methodist College,IL,2013,0,0,0
Midstate College,IL,2013,25400,63,354
Millikin University,IL,2013,42200,83,1233
Monmouth College,IL,2013,39900,53,539
Moraine Valley Community College,IL,2013,32300,430,1865
Morrison Institute of Technology,IL,2013,47700,0,114
Morton College,IL,2013,30900,165,986
Mr John's School of Cosmetology Esthetics & ils-Decatur,IL,2013,15600,31,131
tiol Louis University,IL,2013,42800,212,1253
tiol University of Health Sciences,IL,2013,39400,29,191
Niles School of Cosmetology,IL,2013,19500,0,55
North Central College,IL,2013,45000,72,805
North Park University,IL,2013,42400,88,727
Northern Illinois University,IL,2013,43900,515,6171
Northwestern College-Chicago Campus,IL,2013,29300,379,1890
Northwestern University,IL,2013,65900,195,1906
Northeastern Illinois University,IL,2013,36700,402,2200
Oakton Community College,IL,2013,37600,200,906
Oehrlein School of Cosmetology,IL,2013,16800,25,80
Olivet zarene University,IL,2013,38300,129,1039
Parkland College,IL,2013,29700,425,2463
Pivot Point Academy-Evanston,IL,2013,24100,134,553
Prairie State College,IL,2013,29200,225,994
Professiol's Choice Hair Design Academy,IL,2013,0,0,0
Quincy University,IL,2013,37800,45,461
Vatterott College-Quincy,IL,2013,26900,165,574
The Illinois Institute of Art-Chicago,IL,2013,33100,393,2075
Rend Lake College,IL,2013,25800,219,943
Richland Community College,IL,2013,26700,155,754
Robert Morris University Illinois,IL,2013,31300,592,3796
Rock Valley College,IL,2013,31100,246,1322
Madison Media Institute-Rockford Career College,IL,2013,27500,26,243
Rockford University,IL,2013,43100,48,486
Roosevelt University,IL,2013,42700,237,1526
Dominican University,IL,2013,45600,47,460
Rush University,IL,2013,78200,0,322
Saint Francis Medical Center College of Nursing,IL,2013,55400,0,123
University of St Francis,IL,2013,47600,58,618
St. John's College-Department of Nursing,IL,2013,0,0,0
Saint Xavier University,IL,2013,44400,153,1234
University of Illinois at Springfield,IL,2013,43000,84,897
Sauk Valley Community College,IL,2013,29100,147,757
Shawnee Community College,IL,2013,24100,188,659
Shimer College,IL,2013,0,0,0
Saint Augustine College,IL,2013,25300,215,899
Southeastern Illinois College,IL,2013,27100,135,446
tiol Latino Education Institute,IL,2013,27000,0,94
Spoon River College,IL,2013,27700,114,512
Saint Anthony College of Nursing,IL,2013,58200,0,74
Educators of Beauty College of Cosmetology-Sterling,IL,2013,16200,72,211
Southern Illinois University-Carbondale,IL,2013,41800,625,6072
Southern Illinois University-Edwardsville,IL,2013,41000,356,3602
Taylor Business Institute,IL,2013,20500,70,290
Telshe Yeshiva-Chicago,IL,2013,0,0,0
South Suburban College,IL,2013,26100,548,2346
Tri-County Beauty Academy,IL,2013,0,0,0
Trinity Christian College,IL,2013,42000,92,620
Trinity Intertiol University-Illinois,IL,2013,41000,98,636
Triton College,IL,2013,32000,302,1646
University of Spa & Cosmetology Arts,IL,2013,20700,57,220
VanderCook College of Music,IL,2013,0,0,0
Waubonsee Community College,IL,2013,30300,132,710
Resurrection University,IL,2013,68900,0,111
Western Illinois University,IL,2013,41500,341,4273
Wheaton College,IL,2013,45200,76,527
William Rainey Harper College,IL,2013,34700,304,1601
Ancilla College,IN,2013,29300,79,339
Anderson University,IN,2013,36300,118,979
Apex Academy of Hair Design Inc,IN,2013,0,0,0
Ball State University,IN,2013,39400,515,5541
Bethel College-India,IN,2013,35500,100,721
Butler University,IN,2013,54700,76,1190
Calumet College of Saint Joseph,IN,2013,39700,73,520
College of Court Reporting Inc,IN,2013,32400,33,123
Tricoci University of Beauty Culture-Highland,IN,2013,18400,0,68
DePauw University,IN,2013,50700,44,509
Don Roberts School of Hair Design,IN,2013,18000,29,56
Don Roberts Beauty School,IN,2013,0,0,0
Earlham College,IN,2013,34500,39,304
University of Evansville,IN,2013,40300,77,841
Franklin College,IN,2013,41200,28,438
Goshen College,IN,2013,37000,29,316
Grace College and Theological Semiry,IN,2013,35400,65,323
Hair Fashions By Kaye Beauty College-Noblesville,IN,2013,16300,29,109
Hair Fashions By Kaye Beauty College-Indiapolis,IN,2013,16200,0,127
Hanover College,IN,2013,42500,28,300
J Michael Harrold Beauty Academy,IN,2013,0,0,0
Holy Cross College,IN,2013,36300,31,235
PJ's College of Cosmetology-Clarksville,IN,2013,14600,36,106
Huntington University,IN,2013,34000,50,348
Ivy Tech Community College,IN,2013,29600,801,4127
India University-Purdue University-Fort Wayne,IN,2013,35200,496,3379
India University-Purdue University-Indiapolis,IN,2013,41000,930,6792
Harrison College-Indiapolis,IN,2013,23600,849,3187
University of Indiapolis,IN,2013,40300,131,1233
India Institute of Technology,IN,2013,41200,112,967
University of Southern India,IN,2013,35200,343,3178
India State University,IN,2013,36700,352,3049
India University-Kokomo,IN,2013,35100,139,871
India University-South Bend,IN,2013,33400,254,1864
India University-Bloomington,IN,2013,46100,668,7784
India University-Northwest,IN,2013,35900,254,1483
India University-Southeast,IN,2013,35700,185,1448
India University-East,IN,2013,30100,201,919
Intertiol Business College-Fort Wayne,IN,2013,27000,113,736
Intertiol Business College-Indiapolis,IN,2013,27000,113,736
ITT Technical Institute-shville,TN,2013,38800,589,3860
ITT Technical Institute-Fort Wayne,IN,2013,38800,589,3860
ITT Technical Institute-Indiapolis,IN,2013,38800,589,3860
J Everett Light Career Center,IN,2013,42900,0,64
Knox Beauty College,IN,2013,0,0,0
Tricoci University of Beauty Culture-Lafayette,IN,2013,0,0,0
Brown Mackie College-Merrillville,IN,2013,29600,146,625
Brown Mackie College-Michigan City,IN,2013,29600,146,625
Empire Beauty School-Indiapolis,IN,2013,15700,150,333
Lincoln College of Technology-Indiapolis,IN,2013,33800,330,1990
Manchester University,IN,2013,38800,35,463
Marian University,IN,2013,42800,92,682
India Wesleyan University-Marion,IN,2013,48100,372,3703
Martin University,IN,2013,23000,90,202
Masters of Cosmetology College,IN,2013,18100,0,84
Merrillville Beauty College,IN,2013,16200,68,161
Brown Mackie College-South Bend,IN,2013,29600,146,625
Mid-America College of Funeral Service,IN,2013,27100,0,74
West Michigan College of Barbering and Beauty,MI,2013,13600,0,70
University of Notre Dame,IN,2013,71600,111,1897
Oakland City University,IN,2013,34200,77,436
PJ's College of Cosmetology-Richmond,IN,2013,0,0,0
Purdue University-Calumet Campus,IN,2013,37800,337,2002
Purdue University-North Central Campus,IN,2013,37100,179,1089
Ravenscroft Beauty College,IN,2013,18600,43,163
Rogers Academy of Hair Design,IN,2013,15700,27,130
Rose-Hulman Institute of Technology,IN,2013,79200,36,610
Rudae's School of Beauty Culture-Kokomo,IN,2013,14900,52,201
University of Saint Francis-Fort Wayne,IN,2013,38400,81,768
Saint Josephs College,IN,2013,40100,36,382
Saint Mary-of-the-Woods College,IN,2013,30900,71,462
Saint Mary's College,IN,2013,46100,55,460
Brightwood College-Hammond,IN,2013,22100,185,709
Saint Elizabeth School of Nursing,IN,2013,45500,0,124
Taylor University,IN,2013,36000,124,748
Trine University,IN,2013,41700,77,707
Valparaiso University,IN,2013,48700,81,1062
Vincennes Beauty College,IN,2013,0,0,0
Vincennes University,IN,2013,32200,468,3284
Wabash College,IN,2013,53600,0,290
Allen College,IA,2013,47500,0,184
AIB College of Business,IA,2013,37200,58,613
Briar Cliff University,IA,2013,40300,42,587
Bue Vista University,IA,2013,38800,111,1545
Capri College-Dubuque,IA,2013,21400,0,160
Capri College-Cedar Rapids,IA,2013,19900,34,219
American College of Hairstyling-Cedar Rapids,IA,2013,0,0,0
Central College,IA,2013,43200,55,710
Clarke University,IA,2013,40000,28,471
Coe College,IA,2013,44100,0,402
Cornell College,IA,2013,41200,29,446
Iowa School of Beauty-Marshalltown,IA,2013,14100,0,50
Des Moines Area Community College,IA,2013,33300,742,4738
Divine Word College,IA,2013,0,0,0
Dordt College,IA,2013,39100,56,495
Drake University,IA,2013,56800,63,1131
University of Dubuque,IA,2013,38400,41,617
Ellsworth Community College,IA,2013,34500,73,547
Emmaus Bible College,IA,2013,30700,44,101
Eastern Iowa Community College District,IA,2013,29200,518,2801
Faith Baptist Bible College and Theological Semiry,IA,2013,32800,54,164
Faust Institute of Cosmetology-Storm Lake,IA,2013,0,0,0
Graceland University-Lamoni,IA,2013,37400,60,638
Grand View University,IA,2013,41800,82,892
Grinnell College,IA,2013,44300,30,279
Kaplan University-Mason City Campus,IA,2013,33500,3035,11449
Kaplan University-Cedar Rapids Campus,IA,2013,33500,3035,11449
Hamilton Technical College,IA,2013,35700,67,449
Hawkeye Community College,IA,2013,34500,344,2590
American Hair Academy,IA,2013,0,0,0
Indian Hills Community College,IA,2013,31600,357,1997
Iowa Central Community College,IA,2013,34300,252,1848
Iowa Lakes Community College,IA,2013,32000,154,1285
UnityPoint Health-Des Moines School of Radiologic Technology,IA,2013,0,0,0
American College of Hairstyling-Des Moines,IA,2013,0,0,0
Iowa School of Beauty-Des Moines,IA,2013,19900,40,150
Iowa State University,IA,2013,48600,523,7046
Iowa Wesleyan University,IA,2013,35700,46,397
Iowa Western Community College,IA,2013,31600,246,1721
University of Iowa,IA,2013,50200,435,6147
Kirkwood Community College,IA,2013,34200,798,6053
La James Intertiol College-Cedar Falls,IA,2013,19000,0,108
La James Intertiol College-Johnston,IA,2013,23100,50,212
La James College of Hairstyling and Cosmetology,IA,2013,18000,27,160
La James Intertiol College-Ft Dodge,IA,2013,0,0,0
Loras College,IA,2013,42400,45,696
Luther College,IA,2013,43500,54,867
Maharishi University of Magement,IA,2013,23300,0,72
Marshalltown Community College,IA,2013,31200,99,702
Mercy College of Health Sciences,IA,2013,46700,30,401
Morningside College,IA,2013,42400,49,502
Mount Mercy University,IA,2013,43900,43,663
Ashford University,CA,2013,40900,67,493
North Iowa Area Community College,IA,2013,31800,140,1216
University of Northern Iowa,IA,2013,42800,276,4281
Northwestern College,IA,2013,37200,36,544
Northeast Iowa Community College,IA,2013,31500,254,1943
Northwest Iowa Community College,IA,2013,38000,42,484
Iowa School of Beauty-Ottumwa,IA,2013,0,0,0
Palmer College of Chiropractic,IA,2013,38600,87,462
PCI Academy-Ames,IA,2013,26300,0,140
Saint Ambrose University,IA,2013,44700,85,1083
St Luke's College,IA,2013,44400,0,112
La James Intertiol College-Davenport,IA,2013,16000,0,85
La James Intertiol College-Iowa City,IA,2013,24200,26,169
Simpson College,IA,2013,44400,56,851
Southeastern Community College,IA,2013,27500,267,1260
Southwestern Community College,IA,2013,30200,92,607
Capri College-Davenport,IA,2013,17600,37,158
Iowa School of Beauty-Sioux City,IA,2013,16200,0,64
E Q School of Hair Design,IA,2013,15700,0,54
Upper Iowa University,IA,2013,40500,181,1679
Waldorf University,IA,2013,36100,26,311
Wartburg College,IA,2013,42900,40,780
The Salon Professiol Academy,IA,2013,16900,0,56
Western Iowa Tech Community College,IA,2013,29900,248,1784
William Penn University,IA,2013,40000,96,1017
Allen County Community College,KS,2013,31100,123,767
Baker University,KS,2013,49800,87,962
Barton County Community College,KS,2013,30300,159,884
Benedictine College,KS,2013,39100,60,501
Bethany College,KS,2013,39500,27,295
Bethel College-North Newton,KS,2013,39900,0,216
Brown Mackie College-Kansas City,KS,2013,23000,162,672
Brown Mackie College-Sali,KS,2013,23000,162,672
Bryan University,KS,2013,26700,46,152
Butler Community College,KS,2013,31200,510,2687
Central Christian College of Kansas,KS,2013,30500,36,185
Cloud County Community College,KS,2013,30400,130,812
Coffeyville Community College,KS,2013,29500,123,585
Colby Community College,KS,2013,31700,85,572
Cowley County Community College,KS,2013,32300,335,1598
Marinello Schools of Beauty-Manhattan,KS,2013,18300,31,85
Dodge City Community College,KS,2013,31000,92,481
Donnelly College,KS,2013,23500,105,407
Emporia State University,KS,2013,36600,176,1779
Flint Hills Technical College,KS,2013,33500,0,129
Fort Hays State University,KS,2013,37100,224,2172
Barclay College,KS,2013,28000,0,68
Friends University,KS,2013,41600,180,1399
Fort Scott Community College,KS,2013,29800,117,660
Garden City Community College,KS,2013,30200,117,679
Haskell Indian tions University,KS,2013,22800,96,376
Hays Academy of Hair Design,KS,2013,0,0,0
Hesston College,KS,2013,36500,42,300
Highland Community College,KS,2013,30900,120,839
Hutchinson Community College,KS,2013,32400,240,1482
Independence Community College,KS,2013,25800,92,481
Johnson County Community College,KS,2013,36200,515,3184
Concorde Career College-Kansas City,MO,2013,25500,184,761
Kansas City Kansas Community College,KS,2013,31200,302,1302
University of Kansas,KS,2013,46500,493,5488
Newman University,KS,2013,43500,76,605
Old Town Barber College-Wichita,KS,2013,18800,0,52
Kansas State University,KS,2013,43800,614,6162
Kansas Wesleyan University,KS,2013,39200,43,482
Washburn Institute of Technology,KS,2013,38800,271,2164
La Baron Hairdressing Academy-Overland Park,KS,2013,0,0,0
Labette Community College,KS,2013,30300,101,501
Manhattan Area Technical College,KS,2013,37400,38,371
Manhattan Christian College,KS,2013,31800,0,149
McPherson College,KS,2013,41400,25,264
MidAmerica zarene University,KS,2013,40800,72,726
Neosho County Community College,KS,2013,34400,81,504
North Central Kansas Technical College,KS,2013,36200,30,443
Northwest Kansas Technical College,KS,2013,36100,36,319
Ottawa University-Ottawa,KS,2013,40100,184,1288
Ottawa University-Kansas City,KS,2013,40100,184,1288
Pittsburg State University,KS,2013,38100,225,1982
Pratt Community College,KS,2013,33500,69,436
University of Saint Mary,KS,2013,37100,0,238
Sali Area Technical College,KS,2013,31600,29,204
Seward County Community College,KS,2013,32600,84,417
Sidneys Hair Dressing College,KS,2013,15500,0,70
