INSTNM,STABBR,year,earnings_med,count_not_working,count_working
Everest College-Hayward,CA,2007,22800,135,822
Antelope Valley College,CA,2007,29400,339,1135
Art Center College of Design,CA,2007,46800,91,422
Associated Technical College-Los Angeles,CA,2007,21300,216,700
Associated Technical College-San Diego,CA,2007,18200,120,272
Azusa Pacific University,CA,2007,57700,182,1340
Bakersfield College,CA,2007,31000,281,1568
Bridges Academy of Beauty,CA,2007,0,0,0
Barstow Community College,CA,2007,31400,65,329
Bellus Academy-tiol City,CA,2007,26000,17,79
Bethany University,CA,2007,37200,64,248
Bethesda University,CA,2007,0,0,0
Biola University,CA,2007,45400,112,702
Brooks College,CA,2007,32800,211,1054
Brooks Institute,CA,2007,36600,15,95
Brownson Technical School,CA,2007,0,0,0
Bryan University,AZ,2007,0,8,48
Butte College,CA,2007,31000,545,1987
California Institute of Integral Studies,CA,2007,0,6,41
Cabrillo College,CA,2007,33900,273,1035
California Baptist University,CA,2007,50300,125,883
California College of the Arts,CA,2007,38900,60,299
California Institute of Technology,CA,2007,80000,13,122
California Lutheran University,CA,2007,53100,69,659
California Polytechnic State University-San Luis Obispo,CA,2007,63500,319,3412
Alliant Intertiol University-San Diego,CA,2007,56100,40,244
California State University-Bakersfield,CA,2007,50900,163,1168
California State University-Stanislaus,CA,2007,49100,141,1450
California State University-San Berrdino,CA,2007,54700,356,2880
California State Polytechnic University-Pomo,CA,2007,57000,343,3501
California State University-Chico,CA,2007,50000,395,3586
California State University-Dominguez Hills,CA,2007,49900,248,2055
California State University-Fresno,CA,2007,48800,419,4090
California State University-Fullerton,CA,2007,51100,552,4801
California State University-East Bay,CA,2007,54400,241,2025
California State University-Long Beach,CA,2007,53000,504,4878
California State University-Los Angeles,CA,2007,48900,337,3463
California State University-Northridge,CA,2007,48700,720,5817
California State University-Sacramento,CA,2007,51800,520,4667
University of California-Berkeley,CA,2007,65400,491,4302
University of California-Davis,CA,2007,62000,338,4124
University of California-Irvine,CA,2007,61000,353,3699
